[50, 98, 6990, 6, 278109742, 11169]
[18, 73, 1133, 33, 126714242, 32469]
[8, 12, 1490, 48, 897210089, 22163]
[31, 76, 9016, 17, 397336329, 79158]
[31, 39, 1790, 94, 425364298, 62768]
[80, 33, 5974, 89, 903665516, 24245]
[74, 11, 8046, 98, 281013934, 4827]
[42, 20, 6568, 84, 51947156, 9495]
[30, 48, 6250, 17, 207457417, 92382]
[60, 79, 6216, 35, 148855562, 24399]
[74, 5, 7126, 62, 620820814, 1945]
[58, 72, 7729, 58, 545390415, 76990]
[61, 35, 8769, 86, 375679190, 18691]
[34, 38, 3142, 84, 247660420, 87319]
[14, 79, 8736, 32, 291207756, 24089]
